A42,#E5DBBA
A47,#F4DBAA
A01,#FFFFF2
A08,#2B2B28
D20,#0054A0
A93,#FFFFF1
A91,#FFFFF3
D57,#69ADDF
D51,#00599B
D49,#696A6D
D32,#000000
D61,#77787B
D73,#C7D781
D13,#002E57
D65,#7D77B7
D79,#C398C6
D69,#94A080
D38,#EEE8EB
D24,#7CA32E
D74,#ECED96
D40,#C5E4CC
D22,#A7B1B7
D34,#F9C4CF
D21,#94BEC1
D33,#000000
A35,#3D3028
D69,#004D41
A17,#C08A5F
A02,#BEAFA8
A09,#60625F
A90,#B1A99C
A43,#79736C
A67,#A9A174
A12,#92835D
A40,#715D50
A46,#8C8681
A18,#CAAF87
A92,#D2CAC1
A20,#448993
A28,#7A5553
D63,#FFEEC2
D37,#EEE1C4
D51,#E6E0B2
D44,#F0E5AC
D75,#E6E0B2
D52,#FFE989
D12,#DEB209
D45,#F3CD1F
D77,#D73A37
D9,#BE2F37
D4,#E03A3E
D58,#86AA9E
D28,#5B5600
D27,#49742A
D80,#004438
D72,#7EB9D3
D7,#14003B
D1,#1D2877
D19,#004461
D18,#40535D
A23,#494C59
M104,#DDD7D1
A94,#70655C
A48,#AA9B95
A60,#5C5D61
A52,#746B54
A07,#5D5C64
A61,#978172
A06,#8D7F78
A03,#E8D4AA
M102,#8D7F78
A30,#4F4E56
D6,#E4D168
D42,#FBB482
D31,#D3AA80
D36,#DAB0A0
D76,#FBAB18
D10,#E67A1E
D64,#F47937
D11,#D96C1C
D78,#EF4358
D3,#C60C46
D8,#9D3594
D39,#9FD5B9
D25,#009366
D27,#007663
D59,#007A5E
D41,#89D4E5
D56,#233288
D54,#42345F
D67,#00539F
D29,#41363C
A33,#696867
A11,#CDC6AB
A32,#6B5F55
A95,#BEAFA8
A63,#696867
A50,#4A615C
A54,#5D6984
A31,#C48F7C
A72,#978172
A10,#FCE0B6
M101,#72747B
D43,#B88444
D30,#5F4D3B
D53,#A7918A
D47,#A6988D
D62,#999B9E
D70,#BEC9D0
D48,#D4D4CA
D35,#E2D6D0
D5,#B35313
D66,#D8294F
D81,#F1668D
D15,#009C95
D68,#A5B926
D23,#005543
D71,#419DD7
D16,#6D98AC
D14,#3B4D80
D2,#503D56
D55,#363E99
D20,#00599B
